stock_id,超大单,大单,中单,小单
SH601010,0,-2,10,3
SH601011,0,5,-4,-2
SH601012,4,6,-2,-1
SH601015,0,-2,-1,-2
SH601016,1,1,4,1
SH601018,-6,-7,-5,-1
SH601020,-1,0,-1,3
SH601021,-5,-2,-2,-4
SH601028,1,1,-3,2
SH601038,0,6,8,1
SH601058,0,1,-7,-1
SH601069,0,-4,-1,0
SH601088,-3,6,3,-1
SH601098,-1,3,5,0
SH601099,6,-2,2,1
SH601100,1,0,2,-2
SH601101,1,5,-12,1
SH601106,3,-1,2,-1
SH601107,4,7,-4,0
SH601111,-3,6,-1,-1
SH601116,2,-1,-2,0
SH601117,9,-2,0,2
SH601118,2,-4,-2,-1
SH601126,0,0,0,0
SH601127,-1,4,3,1
SH601128,2,2,2,-1
SH601137,0,2,-1,2
SH601139,0,-1,-10,-7
SH601155,0,8,-7,2
SH601158,1,-3,-7,0
SH601163,1,5,-10,3
SH601166,1,-4,-2,0
SH601169,7,0,0,0
SH601177,2,7,5,-1
SH601179,2,-3,-2,0
SH601186,5,-1,0,-1
SH601188,0,-2,5,-2
SH601198,-2,4,-1,-2
SH601199,3,3,2,-3
SH601200,0,0,0,0
SH601208,0,5,4,0
SH601211,4,-4,1,0
SH601212,-2,-3,4,0
SH601216,2,0,-3,-2
SH601218,0,2,12,-3
SH601222,0,-2,3,6
SH601225,-6,-18,-4,-1
SH601226,0,0,5,-4
SH601228,0,0,0,0
SH601229,5,3,1,0
SH601231,-1,1,0,5
SH601233,1,6,2,0
SH601238,-2,-3,-2,6
SH601258,0,0,0,0
SH601288,-7,1,-2,1
SH601311,7,0,0,0
SH601313,2,-2,-9,-2
SH601318,-5,3,1,0
SH601328,1,9,1,0
SH601333,1,-10,-2,-2
SH601336,-5,-11,1,0
SH601339,0,3,2,3
SH601368,0,8,8,3
SH601369,0,4,2,3
SH601375,4,0,-1,0
SH601377,0,-1,0,0
SH601388,4,4,0,3
SH601390,2,1,0,0
SH601398,-5,-5,-2,-1
SH601500,2,4,4,3
SH601515,0,0,0,1
SH601518,0,-5,-3,1
SH601519,-1,-7,6,-1
SH601555,3,7,2,-1
SH601558,3,-8,2,0
SH601566,0,-7,-3,-6
SH601567,0,0,0,3
SH601579,0,2,-1,0
SH601588,1,7,2,1
SH601595,0,-4,-9,-2
SH601599,2,2,-5,0
SH601600,-5,-2,4,0
SH601601,1,2,-3,1
SH601607,-2,0,0,1
SH601608,-1,0,0,2
SH601611,0,2,-2,-1
SH601616,0,3,4,6
SH601618,3,-2,0,0
SH601628,0,0,0,1
SH601633,0,0,0,0
SH601636,6,2,2,1
SH601666,21,6,2,0
SH601668,-7,-1,-1,0
SH601669,-1,-1,0,-1
SH601677,0,3,-2,-4
SH601678,2,4,3,0
SH601688,5,4,0,0
SH601689,10,2,-1,2
SH601699,1,-1,-1,0
SH601717,0,-5,-6,0
SH601718,-2,3,-5,-1
SH601766,-3,0,0,0
SH601777,1,11,1,0
SH601788,7,7,-4,1
SH601798,0,3,-3,-4
SH601799,0,0,12,-1
SH601800,0,-5,0,0
SH601801,0,13,5,1
SH601808,0,3,6,2
SH601811,0,3,-11,1
SH601818,-5,-9,-7,-2
SH601857,8,2,-4,1
SH601858,-1,6,-2,4
SH601866,-1,0,0,0
SH601872,-8,8,0,-1
SH601877,1,3,4,3
SH601880,-4,3,-6,0
SH601881,1,2,2,0
SH601882,-1,-1,7,2
SH601886,0,0,0,0
SH601888,1,-5,-15,0
